CatNo,LengthMax,LengthAxial,WidthMax,WidthBasal,WidthNeck,Thickness,DSA,PSA,WeightActual,Material,PointType1,PointType2,Source,Site,Area_Jennings,County
238,-31,-31,13.6,5.9,6,4.1,185,100,1.8,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
294,-28.6,-28.6,18.5,-7,6.5,3,120,110,1.1,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
299,-37.5,-37.5,19.7,8.1,6.9,4.1,130,110,2.8,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
318,23.8,23.8,13.4,3.8,4.8,3,130,90,0.8,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
325,27.6,27.6,-16.2,8,6.8,2.6,130,100,0.9,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
328,30.7,30.7,-15.1,5.8,4.1,3,170,100,0.9,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
330,21.2,21.2,13.3,6.1,5.2,3.1,180,100,0.6,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
343,26,26,18.6,6.5,5.2,3.5,130,120,1.3,CCS,Rosegate series,Rosegate,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
71,-42.3,-42.3,22.1,23.4,20,5.4,190,150,3.8,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
188,-51.2,-51.2,31.2,13.7,15.7,4.6,140,110,4.3,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
216,-38,-38,20.8,15,11.4,4.5,170,110,2.7,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
142,-41.2,-37.8,-22.2,-16.1,14.6,7.7,190,110,4.7,CCS,Elko Eared,Elko Eared,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
82,-49.5,-49.5,26.3,12.6,11.9,5.9,170,100,4.1,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
101,29.7,29.7,18.5,6.7,7.5,3.3,120,85,1,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
273,-26,-26,20.8,14,14.2,3.7,180,100,0.9,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
300,-36.6,-36.6,-26.6,8.6,15.9,4.9,150,60,2.4,Indeterminate,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.1. Bronco Charlie.xlsx,26EK801,Western,Elko
35,,,-13.5,12.5,6,2.9,180,160,0.6,CCS,Desert Side Notched,Desert Side-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
6,26.2,26.2,10.5,10.5,,2.3,,,0.6,CCS,Cottonwood Triangular,Cottonwood,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
53,25,25,-14,-14,,3.1,,,1,CCS,Cottonwood Triangular,Cottonwood,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
109,24,22.6,13.3,13.3,,3.2,,,1,CCS,Cottonwood Triangular,Cottonwood,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
47,30.2,29.6,-21,9.2,6.4,3.5,150,130,1.4,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
56,-35,-35,20.1,9.1,7.7,3.4,130,120,1.4,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
58,-35,-35,-19,8.5,8,4,150,120,2.1,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
61,-37,-37,21.1,7.6,6.5,3.2,120,110,1.7,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
66,21.1,21.1,-15,4.6,4.6,3.1,130,110,0.7,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
73,27.8,27.8,21.4,-9.5,5.5,3.3,150,110,1.7,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
75,-32,-32,15,8.4,5.3,3.6,160,110,1.2,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
78,-28,-27,15.8,9.4,7.1,3.6,150,130,1.2,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
96,32,32,20.3,5.2,5.2,3.4,140,100,1.5,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
100,-35,-35,-20,5,4.6,3.7,130,100,1.4,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
105,-40,-40,21.5,-7.4,,3.7,150,100,2.1,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
114,-27,-27,15.8,4.5,3.6,3.6,170,100,1.1,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
124,31.7,31.7,-21,6.6,,3,105,100,1.4,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
131,-42,-41,21.1,8,6,5.4,160,110,2.5,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
136,-34,-34,20.8,6.9,6,2.5,140,105,1.3,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
145,-40,-40,-29,7.3,6.5,4.6,160,110,2.3,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
161,29,29,-16,6.7,5.5,2.7,140,120,1.2,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
162,-32,-32,18.2,8.1,6,3.2,140,110,1.3,CCS,Rosegate series,Rosegate,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
5,-35,-35,26.9,11.5,10.6,5.3,130,110,4.4,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
11,-52,-52,-24,12,9.5,5.6,160,120,5.3,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
14,-47,-46,-29,14,10.7,4.5,125,120,3.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
18,-37,-35,25,13.2,11.7,4.6,130,110,3.1,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
31,-40,-40,-30,15.4,13,6,125,115,4.5,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
33,-36,-36,20.8,16.4,13.2,4.3,170,130,2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
36,-35,-33,-21,-12,,5,160,130,2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
40,-46,,19.9,10,7.4,4.5,140,110,3.1,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
41,-42,-41,-27,15.4,10.7,4,150,120,2.7,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
49,-37,-37,21.5,16.8,11.6,4.6,195,110,3.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
59,27.7,27.3,12.5,-11,6.4,2.6,170,140,0.6,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
68,39.7,39.7,20.5,15,13.1,5,160,120,4.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
77,-38,-38,23.9,-13,10.6,3.8,160,130,3,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
101,-43,-43,27.8,19.4,11,5.6,135,120,3.7,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
104,-31,-30,17.6,10.8,7.9,3.5,140,110,1.4,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
130,-43,-43,24.5,12,11.6,4.3,120,105,3.6,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
133,-41,-41,25.2,18.6,1,5.8,140,140,4.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
147,-50,-50,25.6,14.1,12,4.6,130,100,3.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
149,-42,-41,-25,15,12.5,4.8,150,120,6.2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
150,-40,-40,26,16.2,12,3.8,140,120,2.8,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
152,-33,-33,-23,-13,10.7,3.6,150,110,2,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
320,-46,-46,25,-15,11.2,4.1,170,110,3.5,CCS,Elko Corner Notched,Elko Corner-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
144,-39,-36,-22.4,,9.6,4.8,180,120,2.6,CCS,Elko Eared,Elko Eared,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
45,-54,-54,25.7,12.9,13.6,6.6,180,60,8.5,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
70,46.8,46.8,23.1,7,9.7,6.4,185,80,5.1,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
90,-57,-55.8,25.9,11,11.1,5.2,185,95,6.2,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
97,55.6,55,28.5,12,9.9,8.5,185,60,8.3,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
106,-41,-39,-29,10.6,14.3,6,140,80,5,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
111,-51,-51,-22,11.8,11,5,130,80,2.7,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
123,34,34,23.9,10,10,4.2,130,95,3.8,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
158,-53,-52,22,11.9,12,6.4,190,80,6.1,CCS,Gatecliff Contracting Stem,Gatecliff Contracting Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
12,-44,-42,21,9.8,11.8,5,200,80,3.1,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
15,-44,-42,22,11.5,11,5.2,180,85,2.4,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
30,-40,-37,22,11.6,12.4,5.7,170,95,4.7,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
44,-57,-54,29.8,13,13.5,5.8,190,80,3.2,Obsidian,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
64,41.8,40.5,-25,12.6,11.4,5.8,180,100,4,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
89,-57.7,-55,28,9.6,11.4,6.1,170,80,5.4,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
153,29.6,28.1,23.3,11.9,11.6,4.1,150,95,2,CCS,Gatecliff Split Stem,Gatecliff Split Stem,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
23,-28,-28,14.3,13.5,5.4,2.7,170,160,1.8,CCS,Northern Side-notched,Northern Side-notched,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
48,-63,-63,20.8,16,,6.7,,,8.2,CCS,Humboldt series,Humboldt,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
116,32,30,12.3,9.4,,4.3,,,1.7,CCS,Humboldt series,Humboldt,Table S2.10. Ruby Cave.xlsx,26EK18,Western,Elko
101-4,42.2,,25.5,12.8,-11.7,4.6,170,100,4.2,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-6,44.6,39,25,13.3,12.3,5.5,180,100,5,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-10,-58,-53,31,15.8,16.4,5.5,150,85,5.6,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-27,-37,-34.5,-23.7,12,-11.5,4.6,145,95,2.8,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-29,39.6,37,23.8,11.3,10.5,4.9,150,90,2.9,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-63,-47,-43.5,30.2,12.5,13.5,7.8,170,90,8,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-82,62.4,50.1,23.8,17.5,17.5,6.6,190,90,8.3,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-110,35.8,32.8,27.3,13.1,11.7,6,160,100,4.4,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-111,39,35.5,30,13.5,13.4,4.6,175,90,3.7,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-112,34.2,32,23.4,13.3,12,4.9,170,100,2.6,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-119,35.7,30.6,25.4,22.4,15,5.3,185,75,4.3,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-120,-41.5,-39.5,27.2,12.3,11.6,7.1,150,90,5.4,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-132,63.1,59,27.5,16,14.8,5.6,170,100,7.8,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-141,-41,-38,25.8,14.3,12.1,5.8,170,100,5.1,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-148,-32.5,-29,-20.5,11.5,10,4.5,165,105,1.7,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-149,-48,-41.7,-31.5,19.6,18.8,5.6,,80,4,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-167,-47.2,-44.5,22.8,13.2,11.7,4.9,160,100,4.1,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-168,-37,-35.5,22,10.7,10.1,5.9,170,90,3.4,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-176,-39.5,-36.2,25.3,14.5,,4.3,170,100,3.4,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-199,-45.2,-42,-25,-14.5,,6.7,,,6,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-216,-39.5,-37.5,-24,12.1,11.6,4.2,180,95,2.8,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-217,-37,-35.5,22.5,12.3,10.2,5,150,90,3.7,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-218,39.3,37,25.2,11.9,12.2,4.3,150,90,4.5,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-219,-32,-30.1,-28.6,12.5,-13.7,6.2,155,70,3.6,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-224,-50,-46.5,32.5,14.2,14.6,7.3,150,90,5.9,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-231,-33,32,-18,10.5,-8.3,4.7,180,90,1.9,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-237,36,33.6,-22,11,10.8,5.3,180,95,3.2,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-274,-40.5,-34.3,24.5,17.5,16.9,5.7,180,85,4.1,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-302,42.4,39,17.8,-11,-7.7,4.2,170,100,2.3,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-343,-29.2,-26.4,-20,-16,-10.2,4.5,170,110,2.2,Obsidian,Pinto,Pinto,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-194,-33,-33,17,9.8,7.8,3.8,130,110,1.7,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-201,-27.2,-27.2,17,9.5,7.2,2.6,165,90,0.7,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-204,36.5,36.5,16.6,7.1,6.5,3.5,130,100,1.8,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-209,-31.5,-30,-18.5,-16.5,,4.4,180,145,1.3,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-257,-23.5,-21.5,18,12,8.1,3,150,120,0.5,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-303,31,31,20,-9.6,9.2,3.9,120,95,1.9,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-328,29.1,29.1,24.3,20.6,14.4,4.3,150,140,2.6,Obsidian,Rosegate series,Rosegate,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-16,29,27.5,-27.5,-21,13,4.8,150,140,2.7,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-18,49.3,47.9,-27.8,14.9,10.6,4.6,120,110,4.3,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-21,-40,-37.8,26.6,17.6,13.1,4.3,140,120,4,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-66,-40,-38,22.5,-18,-12.6,5,180,130,2.7,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-96,-37.5,-36.8,-26,12,11.1,5.3,145,95,3.3,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-102,-42,-40,-24,-15,10.7,4.8,160,140,3.1,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-122,-30,-28,,16,9.5,4,,140,0.5,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-162,34.8,33.8,20.7,-13.1,7.8,4.5,150,150,2.5,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-264,-54.5,-52,27.4,23,15.1,5.9,170,145,6.4,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-307,33,31,,17.5,-12,3.3,,140,0.4,Obsidian,Elko Corner Notched,Elko Corner-notched,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
101-37,-39.3,-37,-26.3,15.3,13.1,4.8,,120,2.8,Obsidian,Elko Eared,Elko Eared,Table S2.100. Silent Snake Springs.xlsx,26HU201,Western,Humboldt
